,iso3,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
0,ARG,2008,78.9268,Argentina,20387718.0,53.0,1.82,0
1,ATG,2008,79.088,Antigua y Barbuda,43883.0,50.0,0,0
2,BHS,2008,75.9615,Bahamas,186970.0,77.0,0,0
3,BLZ,2008,74.0447,Belice,152520.0,59.0,0,0
4,BOL,2008,67.8569,Bolivia,4898788.0,234.0,1.952,0
5,BRA,2008,76.1337,Brasil,97612571.0,70.0,1.952,0
6,BRB,2008,77.5759,Barbados,142532.0,39.0,0,0
7,CHL,2008,81.2504,Chile,8392523.0,21.0,1.631,0
8,COL,2008,77.7309,Colombia,22128690.0,84.0,2.659,0
9,CRI,2008,81.0158,Costa Rica,2240104.0,29.0,1.639,33.0
10,CUB,2008,79.7977,Cuba,5642613.0,40.0,2.077,0
11,DMA,2008,76.2139,Dominica,34119.0,0,0,1.0
12,DOM,2008,74.8316,República Dominicana,4700619.0,92.0,1.987,204.0
13,ECU,2008,78.1157,Ecuador,7242204.0,82.0,2.145,0
14,GRD,2008,77.3415,Granada,55736.0,30.0,0,0
15,GTM,2008,73.8994,Guatemala,6925630.0,125.0,2.109,0
16,GUY,2008,69.7995,Guyana,378592.0,192.0,2.045,0
17,HND,2008,72.4513,Honduras,4003999.0,76.0,2.171,0
18,HTI,2008,63.6962,Haití,4819071.0,484.0,2.066,0
19,JAM,2008,73.6036,Jamaica,1367460.0,79.0,1.974,0
20,KNA,2008,74.7684,Saint Kitts y Nevis,23904.0,0,0,0
21,LCA,2008,75.7352,Santa Lucía,84671.0,93.0,0,1.0
22,MEX,2008,76.9519,México,55985191.0,49.0,2.115,0
23,NIC,2008,73.6744,Nicaragua,2885445.0,116.0,1.866,0
24,PAN,2008,79.4327,Panamá,1741781.0,84.0,1.77,0
25,PER,2008,75.509,Perú,14418159.0,108.0,1.982,0
26,PRY,2008,74.316,Paraguay,2801155.0,118.0,1.842,16.0
27,SLV,2008,75.9201,El Salvador,3166854.0,57.0,2.008,0
28,SUR,2008,72.2712,Suriname,265315.0,169.0,0,0
29,TTO,2008,74.7729,Trinidad y Tobago,704812.0,72.0,2.078,19.0
